"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","2403","2403","C2C-BUENAV-2403-2403-PTZ","6"
"C2CENTRO","6726","122264","C2C-MORELO-122264-6726-FIJA","6"
"C2CENTRO","10172","130234","C2C-ASTURI-130234-10172-FIJA","6"
"C2CENTRO","2307","122012","C2C-ASTURI-122012-2307-FIJA","6"
"C2CENTRO","2436","2436","C2C-CENTRO-2436-2436-PTZ","6"
"C2CENTRO","502","101336","C2C-ASTURI-101336-502-FIJA","5"
"C2CENTRO","7738","122327","C2C-TLATEL-122327-7738-FIJA","5"
"C2CENTRO","10135","10135","C2C-ALAMED-10135-10135-PTZ","5"
"C2CENTRO","7738","122328","C2C-TLATEL-122328-7738-FIJA","5"
"C2CENTRO","10136","122697","C2C-ALAMED-122697-10136-FIJA","5"
"C2CENTRO","8057","122413","C2C-TLATEL-122413-8057-FIJA","5"
"C2CENTRO","8034","121053","C2C-ROMA-121053-8034-FIJA","5"
"C2CENTRO","8060","122422","C2C-TLATEL-122422-8060-FIJA","5"
"C2CENTRO","9111","9111","C2C-ASTURI-9111-9111-PTZ","5"
"C2CENTRO","5221","109847","C2C-ANGEL-109847-5221-FIJA","5"
"C2CENTRO","1667","103739","C2C-CENTRO-103739-1667-FIJA","5"
"C2CENTRO","9111","122472","C2C-ASTURI-122472-9111-FIJA","5"
"C2CENTRO","7744","122333","C2C-TLATEL-122333-7744-FIJA","5"
"C2CENTRO","8060","122420","C2C-TLATEL-122420-8060-FIJA","5"
"C2CENTRO","2474","180077","C2C-CENTRO-180077-2474-FIJA","5"
"C2CENTRO","5221","5221","C2C-ANGEL-5221-5221-PTZ","5"
"C2CENTRO","10119","122656","C2C-ASTURI-122656-10119-FIJA","5"
"C2CENTRO","9156","9156","C2C-ALAMED-9156-9156-PTZ","5"
"C2CENTRO","10135","122692","C2C-ALAMED-122692-10135-FIJA","5"
"C2CENTRO","10116","122650","C2C-CENTRO-122650-10116-FIJA","5"
"C2CENTRO","2234","121995","C2C-BUENAV-121995-2234-FIJA","5"
"C2CENTRO","10172","130235","C2C-ASTURI-130235-10172-FIJA","5"
"C2CENTRO","10122","10122","C2C-CENTRO-10122-10122-PTZ","5"
"C2CENTRO","8060","122421","C2C-TLATEL-122421-8060-FIJA","5"
"C2CENTRO","10122","122666","C2C-CENTRO-122666-10122-FIJA","5"
"C2CENTRO","8058","122417","C2C-TLATEL-122417-8058-FIJA","5"
"C2CENTRO","872","102279","C2C-ROMA-102279-872-FIJA","5"
"C2CENTRO","10484","10484","C2C-CENTRO-10484-10484-PTZ","5"
"C2CENTRO","490","180005","C2C-CENTRO-180005-490-FIJA","5"
"C2CENTRO","10146","122713","C2C-CENTRO-122713-10146-FIJA","5"
"C2CENTRO","9287","9287","C2C-ASTURI-9287-9287-PTZ","5"
"C2CENTRO","9509","9509","C2C-BUENAV-9509-9509-PTZ","5"
"C2CENTRO","10484","122725","C2C-CENTRO-122725-10484-FIJA","5"
"C2CENTRO","5221","109848","C2C-ANGEL-109848-5221-FIJA","5"
"C2CENTRO","9157","9157","C2C-CENTRO-9157-9157-PTZ","5"
"C2CENTRO","2478","180091","C2C-CENTRO-180091-2478-FIJA","4"
"C2CENTRO","2200","117487","C2C-ROMA-117487-2200-FIJA","4"
"C2CENTRO","10116","122647","C2C-CENTRO-122647-10116-FIJA","4"
"C2CENTRO","1667","1667","C2C-CENTRO-1667-1667-PTZ","4"
"C2CENTRO","10128","122679","C2C-ALAMED-122679-10128-FIJA","4"
"C2CENTRO","10116","122648","C2C-CENTRO-122648-10116-FIJA","4"
"C2CENTRO","132","100356","C2C-TLATEL-100356-132-FIJA","4"
"C2CENTRO","10538","127912","C2C-MORELO-10538-127912-FIJA","4"
"C2CENTRO","10538","127913","C2C-MORELO-10538-127913-FIJA","4"
"C2CENTRO","5221","109846","C2C-ANGEL-109846-5221-FIJA","4"
"C2CENTRO","10620","10620","C2C-TLATEL-10620-10620-PTZ","4"
"C2CENTRO","7978","7978","C2C-ALAMED-7978-7978-PTZ","4"
"C2CENTRO","2506","115634","C2C-ALAMED-115634-2506-FIJA","4"
"C2CENTRO","10146","122712","C2C-CENTRO-122712-10146-FIJA","4"
"C2CENTRO","10146","122714","C2C-CENTRO-122714-10146-FIJA","4"
"C2CENTRO","10118","122651","C2C-ALAMED-122651-10118-FIJA","4"
"C2CENTRO","10145","122710","C2C-TLATEL-122710-10145-FIJA","4"
"C2CENTRO","10034","10034","C2C-ASTURI-10034-10034-PTZ-20M","4"
"C2CENTRO","9289","122520","C2C-ASTURI-122520-9289-FIJA","4"
"C2CENTRO","2609","2609","C2C-ROMA-2609-2609-PTZ","4"
"C2CENTRO","10538","10538","C2C-MORELO-10538-10538-PTZ","4"
"C2CENTRO","10538","127915","C2C-MORELO-10538-127915-FIJA","4"
"C2CENTRO","2622","132816","C2C-ROMA-132816-2622-FIJA","4"
